terrain_id,bin_id,bin_start,bin_end,total_transitions,persisted_count,smoothed_count,fragmented_count,posture_changed_count,recomposed_count,non_persisted_count,non_persisted_share,dominant_transition_marker,localization_class
rr_interval_4001_first_50000_001,bin_0001,1,500,69,69,0,0,0,0,0,0.0000,persisted,quiet
rr_interval_4001_first_50000_001,bin_0002,501,1000,75,75,0,0,0,0,0,0.0000,persisted,quiet
rr_interval_4001_first_50000_001,bin_0003,1001,1500,71,70,1,0,0,0,1,0.0141,persisted,distributed_low
rr_interval_4001_first_50000_001,bin_0004,1501,2000,72,72,0,0,0,0,0,0.0000,persisted,quiet
rr_interval_4001_first_50000_001,bin_0005,2001,2500,74,74,0,0,0,0,0,0.0000,persisted,quiet
rr_interval_4001_first_50000_001,bin_0006,2501,3000,71,71,0,0,0,0,0,0.0000,persisted,quiet
rr_interval_4001_first_50000_001,bin_0007,3001,3500,70,70,0,0,0,0,0,0.0000,persisted,quiet
rr_interval_4001_first_50000_001,bin_0008,3501,4000,73,73,0,0,0,0,0,0.0000,persisted,quiet
rr_interval_4001_first_50000_001,bin_0009,4001,4500,72,72,0,0,0,0,0,0.0000,persisted,quiet
rr_interval_4001_first_50000_001,bin_0010,4501,5000,70,70,0,0,0,0,0,0.0000,persisted,quiet
rr_interval_4001_first_50000_001,bin_0011,5001,5500,74,74,0,0,0,0,0,0.0000,persisted,quiet
rr_interval_4001_first_50000_001,bin_0012,5501,6000,71,71,0,0,0,0,0,0.0000,persisted,quiet
rr_interval_4001_first_50000_001,bin_0013,6001,6500,72,72,0,0,0,0,0,0.0000,persisted,quiet
rr_interval_4001_first_50000_001,bin_0014,6501,7000,74,73,1,0,0,0,1,0.0135,persisted,distributed_low
rr_interval_4001_first_50000_001,bin_0015,7001,7500,69,69,0,0,0,0,0,0.0000,persisted,quiet
rr_interval_4001_first_50000_001,bin_0016,7501,8000,71,70,1,0,0,0,1,0.0141,persisted,distributed_low
rr_interval_4001_first_50000_001,bin_0017,8001,8500,74,73,1,0,0,0,1,0.0135,persisted,distributed_low
rr_interval_4001_first_50000_001,bin_0018,8501,9000,72,72,0,0,0,0,0,0.0000,persisted,quiet
rr_interval_4001_first_50000_001,bin_0019,9001,9500,71,71,0,0,0,0,0,0.0000,persisted,quiet
rr_interval_4001_first_50000_001,bin_0020,9501,10000,74,74,0,0,0,0,0,0.0000,persisted,quiet
rr_interval_4001_first_50000_001,bin_0021,10001,10500,69,69,0,0,0,0,0,0.0000,persisted,quiet
rr_interval_4001_first_50000_001,bin_0022,10501,11000,70,70,0,0,0,0,0,0.0000,persisted,quiet
rr_interval_4001_first_50000_001,bin_0023,11001,11500,76,76,0,0,0,0,0,0.0000,persisted,quiet
rr_interval_4001_first_50000_001,bin_0024,11501,12000,71,70,1,0,0,0,1,0.0141,persisted,distributed_low
rr_interval_4001_first_50000_001,bin_0025,12001,12500,71,69,2,0,0,0,2,0.0282,persisted,distributed_low
rr_interval_4001_first_50000_001,bin_0026,12501,13000,73,72,1,0,0,0,1,0.0137,persisted,distributed_low
rr_interval_4001_first_50000_001,bin_0027,13001,13500,72,71,1,0,0,0,1,0.0139,persisted,distributed_low
rr_interval_4001_first_50000_001,bin_0028,13501,14000,70,70,0,0,0,0,0,0.0000,persisted,quiet
rr_interval_4001_first_50000_001,bin_0029,14001,14500,73,73,0,0,0,0,0,0.0000,persisted,quiet
