terrain_id,from_focus_size,to_focus_size,from_line_start,from_line_end,to_line_start,to_line_end,overlap_ratio,from_posture,to_posture,from_legibility,to_legibility,delta_stable,delta_middle,delta_residual,transition_marker
interrupted_replay_001,25,50,1151,1175,1151,1200,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1176,1200,1151,1200,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1201,1225,1201,1250,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1226,1250,1201,1250,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1251,1275,1251,1300,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1276,1300,1251,1300,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1301,1325,1301,1350,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1326,1350,1301,1350,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1351,1375,1351,1400,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1376,1400,1351,1400,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1401,1425,1401,1450,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1426,1450,1401,1450,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1451,1475,1451,1500,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1476,1500,1451,1500,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1501,1525,1501,1550,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1526,1550,1501,1550,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1551,1575,1551,1600,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
interrupted_replay_001,25,50,1576,1600,1551,1600,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
