"terrain","residual_forms","rough_residual_families","largest_residual_family_share","residual_attachment_ratio","attachment_rows"
"HDFS",,,"97","98.8","29"
"Linux",,,"6.2","9.3","20"
"OpenStack",,,"48.5","31.1","29"
"Thunderbird",,,"31.7","62.3","29"
