"terrain_id","territory_start","territory_end","territory_width","candidate_count","candidate_span_total","candidate_span_ratio","quiet_span_total","quiet_span_ratio","quiet_gap_count","largest_quiet_gap","mean_quiet_gap","candidate_width_min","candidate_width_mean","candidate_width_max","candidate_spacing_min","candidate_spacing_mean","candidate_spacing_max","first_candidate_start","last_candidate_end","occupied_extent","occupied_extent_ratio","edge_left_quiet","edge_right_quiet"
"white_noise_generated_001","1","137074","137074","0","0","0.000000","137074","1.000000","0","0","0.000000","0","0.000000","0","0","0.000000","0","0","0","0","0.000000","137074","0"
"electricity_hourly_coarse_relation_001","1","26304","26304","1","304","0.011557","26000","0.988443","0","0","0.000000","304","304.000000","304","0","0.000000","0","26001","26304","304","0.011557","26000","0"
"electricity_hourly_relation_001","1","26304","26304","1","26304","1.000000","0","0.000000","0","0","0.000000","26304","26304.000000","26304","0","0.000000","0","1","26304","26304","1.000000","0","0"
"rr_interval_4000_first_137074_001","1","137074","137074","9","4500","0.032829","132574","0.967171","8","49500","12875.000000","500","500.000000","500","500","12875.000000","49500","29501","137000","107500","0.784248","29500","74"
