window_size,stable_share,middle_share,residual_share,phase_read
25,0.0,0.1525,0.8475,collapse_dominant
50,0.0,0.18,0.82,collapse_dominant
100,0.0,0.19,0.81,collapse_dominant
250,0.0,0.2,0.8,collapse_dominant
500,0.0,0.2,0.8,collapse_dominant
1000,0.0,0.2,0.8,collapse_dominant
