from_window_size,to_window_size,from_feature_id,to_feature_id,from_interval,to_interval,from_center,to_center,center_delta,overlap_lines,overlap_ratio_from,overlap_ratio_to,relation_type,boundary_note
200,250,200_feature_003,,401-404,,402.5,,,0,0,0,disappears,no_interval_overlap_at_next_constitution
200,250,200_feature_004,,1601-1606,,1603.5,,,0,0,0,disappears,no_interval_overlap_at_next_constitution
200,250,200_feature_005,,1801-1810,,1805.5,,,0,0,0,disappears,no_interval_overlap_at_next_constitution
200,250,,250_feature_002,,251-260,,255.5,,0,0,0,appears,no_interval_overlap_from_prior_constitution
200,250,,250_feature_003,,501-504,,502.5,,0,0,0,appears,no_interval_overlap_from_prior_constitution
200,250,,250_feature_004,,1501-1502,,1501.5,,0,0,0,appears,no_interval_overlap_from_prior_constitution
200,250,,250_feature_005,,1751-1764,,1757.5,,0,0,0,appears,no_interval_overlap_from_prior_constitution
250,350,250_feature_001,350_feature_001,1-212,1-222,106.5,111.5,5.0,212,1.0,0.955,continues,interval_overlap_relation_not_identity_proof
250,350,250_feature_005,350_feature_004,1751-1764,1751-1764,1757.5,1757.5,0.0,14,1.0,1.0,continues,interval_overlap_relation_not_identity_proof
250,350,250_feature_002,,251-260,,255.5,,,0,0,0,disappears,no_interval_overlap_at_next_constitution
250,350,250_feature_003,,501-504,,502.5,,,0,0,0,disappears,no_interval_overlap_at_next_constitution
250,350,250_feature_004,,1501-1502,,1501.5,,,0,0,0,disappears,no_interval_overlap_at_next_constitution
250,350,,350_feature_002,,351-354,,352.5,,0,0,0,appears,no_interval_overlap_from_prior_constitution
250,350,,350_feature_003,,1401-1402,,1401.5,,0,0,0,appears,no_interval_overlap_from_prior_constitution
350,500,350_feature_001,500_feature_001,1-222,1-222,111.5,111.5,0.0,222,1.0,1.0,continues,interval_overlap_relation_not_identity_proof
350,500,350_feature_002,,351-354,,352.5,,,0,0,0,disappears,no_interval_overlap_at_next_constitution
350,500,350_feature_003,,1401-1402,,1401.5,,,0,0,0,disappears,no_interval_overlap_at_next_constitution
350,500,350_feature_004,,1751-1764,,1757.5,,,0,0,0,disappears,no_interval_overlap_at_next_constitution
350,500,,500_feature_002,,501-504,,502.5,,0,0,0,appears,no_interval_overlap_from_prior_constitution
350,500,,500_feature_003,,1501-1516,,1508.5,,0,0,0,appears,no_interval_overlap_from_prior_constitution
500,750,500_feature_001,750_feature_001,1-222,1-226,111.5,113.5,2.0,222,1.0,0.982,continues,interval_overlap_relation_not_identity_proof
500,750,500_feature_003,750_feature_002,1501-1516,1501-1516,1508.5,1508.5,0.0,16,1.0,1.0,continues,interval_overlap_relation_not_identity_proof
500,750,500_feature_002,,501-504,,502.5,,,0,0,0,disappears,no_interval_overlap_at_next_constitution
750,1000,750_feature_001,1000_feature_001,1-226,1-226,113.5,113.5,0.0,226,1.0,1.0,continues,interval_overlap_relation_not_identity_proof
750,1000,750_feature_002,,1501-1516,,1508.5,,,0,0,0,disappears,no_interval_overlap_at_next_constitution
750,1000,,1000_feature_002,,1001-1016,,1008.5,,0,0,0,appears,no_interval_overlap_from_prior_constitution
