terrain_id,bin_id,bin_start,bin_end,total_transitions,persisted_count,smoothed_count,fragmented_count,posture_changed_count,recomposed_count,non_persisted_count,non_persisted_share,dominant_transition_marker,localization_class
rr_4001_bin_250,bin_0175,43501,43750,39,38,1,0,0,0,1,0.0256,persisted,distributed_low
rr_4001_bin_250,bin_0176,43751,44000,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0177,44001,44250,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0178,44251,44500,42,41,1,0,0,0,1,0.0238,persisted,distributed_low
rr_4001_bin_250,bin_0179,44501,44750,43,42,1,0,0,0,1,0.0233,persisted,distributed_low
rr_4001_bin_250,bin_0180,44751,45000,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0181,45001,45250,39,38,1,0,0,0,1,0.0256,persisted,distributed_low
rr_4001_bin_250,bin_0182,45251,45500,42,41,1,0,0,0,1,0.0238,persisted,distributed_low
rr_4001_bin_250,bin_0183,45501,45750,41,40,1,0,0,0,1,0.0244,persisted,distributed_low
rr_4001_bin_250,bin_0184,45751,46000,40,39,1,0,0,0,1,0.0250,persisted,distributed_low
rr_4001_bin_250,bin_0185,46001,46250,43,43,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0186,46251,46500,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0187,46501,46750,40,39,1,0,0,0,1,0.0250,persisted,distributed_low
rr_4001_bin_250,bin_0188,46751,47000,43,43,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0189,47001,47250,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0190,47251,47500,40,39,1,0,0,0,1,0.0250,persisted,distributed_low
rr_4001_bin_250,bin_0191,47501,47750,42,41,1,0,0,0,1,0.0238,persisted,distributed_low
rr_4001_bin_250,bin_0192,47751,48000,40,39,1,0,0,0,1,0.0250,persisted,distributed_low
rr_4001_bin_250,bin_0193,48001,48250,41,40,1,0,0,0,1,0.0244,persisted,distributed_low
rr_4001_bin_250,bin_0194,48251,48500,43,42,1,0,0,0,1,0.0233,persisted,distributed_low
rr_4001_bin_250,bin_0195,48501,48750,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0196,48751,49000,40,39,1,0,0,0,1,0.0250,persisted,distributed_low
rr_4001_bin_250,bin_0197,49001,49250,42,41,1,0,0,0,1,0.0238,persisted,distributed_low
rr_4001_bin_250,bin_0198,49251,49500,40,39,1,0,0,0,1,0.0250,persisted,distributed_low
rr_4001_bin_250,bin_0199,49501,49750,40,40,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0200,49751,50000,43,43,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0201,50001,50250,41,40,1,0,0,0,1,0.0244,persisted,distributed_low
rr_4001_bin_250,bin_0202,50251,50500,40,39,1,0,0,0,1,0.0250,persisted,distributed_low
rr_4001_bin_250,bin_0203,50501,50750,43,43,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0204,50751,51000,39,39,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0205,51001,51250,39,39,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0206,51251,51500,43,42,1,0,0,0,1,0.0233,persisted,distributed_low
rr_4001_bin_250,bin_0207,51501,51750,41,41,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0208,51751,52000,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0209,52001,52250,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0210,52251,52500,39,39,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0211,52501,52750,39,39,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0212,52751,53000,42,42,0,0,0,0,0,0.0000,persisted,quiet
rr_4001_bin_250,bin_0213,53001,53250,42,41,1,0,0,0,1,0.0238,persisted,distributed_low
rr_4001_bin_250,bin_0214,53251,53500,41,39,2,0,0,0,2,0.0488,persisted,distributed_low
rr_4001_bin_250,bin_0215,53501,53750,43,43,0,0,0,0,0,0.0000,persisted,quiet
