from_window_size,to_window_size,from_zone,to_zone,from_interval,to_interval,from_width,to_width,width_delta,width_preservation_ratio,direction,relation_type,overlap_lines,event_note,boundary
200,250,left_zone,left_zone,1-197,1-212,197,212,15,1.076,rightward,merges,197,check_width_preservation,deformation_event_not_identity_or_semantics
200,250,left_zone,left_zone,201-225,1-212,25,212,187,8.48,leftward,merges,12,check_width_preservation,deformation_event_not_identity_or_semantics
200,250,left_zone,none,401-404,,4,0,-4,,none,disappears,0,fade_or_drop,deformation_event_not_identity_or_semantics
200,250,right_zone,none,1601-1606,,6,0,-6,,none,disappears,0,fade_or_drop,deformation_event_not_identity_or_semantics
200,250,right_zone,none,1801-1810,,10,0,-10,,none,disappears,0,fade_or_drop,deformation_event_not_identity_or_semantics
200,250,none,left_zone,,251-260,0,10,10,,none,appears,0,appearance_or_reconstitution,deformation_event_not_identity_or_semantics
200,250,none,left_zone,,501-504,0,4,4,,none,appears,0,appearance_or_reconstitution,deformation_event_not_identity_or_semantics
200,250,none,right_zone,,1501-1502,0,2,2,,none,appears,0,appearance_or_reconstitution,deformation_event_not_identity_or_semantics
200,250,none,right_zone,,1751-1764,0,14,14,,none,appears,0,appearance_or_reconstitution,deformation_event_not_identity_or_semantics
250,350,left_zone,left_zone,1-212,1-222,212,222,10,1.047,rightward,continues,212,ordinary_deformation,deformation_event_not_identity_or_semantics
250,350,right_zone,right_zone,1751-1764,1751-1764,14,14,0,1.0,held,continues,14,width_preserved,deformation_event_not_identity_or_semantics
250,350,left_zone,none,251-260,,10,0,-10,,none,disappears,0,fade_or_drop,deformation_event_not_identity_or_semantics
250,350,left_zone,none,501-504,,4,0,-4,,none,disappears,0,fade_or_drop,deformation_event_not_identity_or_semantics
250,350,right_zone,none,1501-1502,,2,0,-2,,none,disappears,0,fade_or_drop,deformation_event_not_identity_or_semantics
250,350,none,left_zone,,351-354,0,4,4,,none,appears,0,appearance_or_reconstitution,deformation_event_not_identity_or_semantics
250,350,none,right_zone,,1401-1402,0,2,2,,none,appears,0,appearance_or_reconstitution,deformation_event_not_identity_or_semantics
350,500,left_zone,left_zone,1-222,1-222,222,222,0,1.0,held,continues,222,width_preserved,deformation_event_not_identity_or_semantics
350,500,left_zone,none,351-354,,4,0,-4,,none,disappears,0,fade_or_drop,deformation_event_not_identity_or_semantics
350,500,right_zone,none,1401-1402,,2,0,-2,,none,disappears,0,fade_or_drop,deformation_event_not_identity_or_semantics
350,500,right_zone,none,1751-1764,,14,0,-14,,none,disappears,0,fade_or_drop,deformation_event_not_identity_or_semantics
350,500,none,left_zone,,501-504,0,4,4,,none,appears,0,appearance_or_reconstitution,deformation_event_not_identity_or_semantics
350,500,none,right_zone,,1501-1516,0,16,16,,none,appears,0,appearance_or_reconstitution,deformation_event_not_identity_or_semantics
500,750,left_zone,left_zone,1-222,1-226,222,226,4,1.018,rightward,continues,222,width_preserved,deformation_event_not_identity_or_semantics
500,750,right_zone,right_zone,1501-1516,1501-1516,16,16,0,1.0,held,continues,16,width_preserved,deformation_event_not_identity_or_semantics
500,750,left_zone,none,501-504,,4,0,-4,,none,disappears,0,fade_or_drop,deformation_event_not_identity_or_semantics
750,1000,left_zone,left_zone,1-226,1-226,226,226,0,1.0,held,continues,226,width_preserved,deformation_event_not_identity_or_semantics
750,1000,right_zone,none,1501-1516,,16,0,-16,,none,disappears,0,fade_or_drop,deformation_event_not_identity_or_semantics
750,1000,none,null_zone,,1001-1016,0,16,16,,none,appears,0,appearance_or_reconstitution,deformation_event_not_identity_or_semantics
