from_window_size,to_window_size,from_segment,to_segment,from_dominant,to_dominant,from_interval,to_interval,overlap_lines,from_overlap_count,to_overlap_count,relation_type,relation_note
75,100,1,1,middle,middle,1-225,1-200,200,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
75,100,1,2,middle,residual,1-225,201-3400,25,2,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
75,100,4,3,residual,stable,4876-5100,3401-4900,25,2,3,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
75,100,4,4,residual,residual,4876-5100,4901-5100,200,2,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
75,100,6,5,residual,stable,5176-5325,5101-5200,25,3,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
75,100,6,6,residual,residual,5176-5325,5201-5300,100,3,1,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
75,100,6,7,residual,stable,5176-5325,5301-5700,25,3,2,one_to_many_split,one prior segment overlaps multiple wider-constitution segments
75,100,1,2,middle,residual,1-225,201-3400,25,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
75,100,2,2,residual,residual,226-3450,201-3400,3175,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
75,100,3,3,stable,stable,3451-4875,3401-4900,1425,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
75,100,4,3,residual,stable,4876-5100,3401-4900,25,2,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
75,100,5,5,stable,stable,5101-5175,5101-5200,75,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
75,100,6,5,residual,stable,5176-5325,5101-5200,25,3,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
75,100,6,7,residual,stable,5176-5325,5301-5700,25,3,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
75,100,7,7,stable,stable,5326-5700,5301-5700,375,1,2,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
75,100,8,8,residual,residual,5701-5775,5701-7000,75,1,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
75,100,9,8,stable,residual,5776-5850,5701-7000,75,1,3,many_to_one_absorption,multiple prior segments overlap one wider-constitution segment
