terrain_id,from_focus_size,to_focus_size,from_line_start,from_line_end,to_line_start,to_line_end,overlap_ratio,from_posture,to_posture,from_legibility,to_legibility,delta_stable,delta_middle,delta_residual,transition_marker
rr_interval_4002_first_50000_001,100,125,15101,15200,15126,15250,0.7500,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,15201,15300,15126,15250,0.5000,stable,stable,dominant_stable,dominant_stable,0.0200,-0.0200,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,15301,15400,15251,15375,0.7500,stable,stable,dominant_stable,dominant_stable,-0.0040,0.0160,-0.0120,persisted
rr_interval_4002_first_50000_001,100,125,15401,15500,15376,15500,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,15501,15600,15501,15625,1.0000,stable,stable,dominant_stable,dominant_stable,0.0320,-0.0300,-0.0020,persisted
rr_interval_4002_first_50000_001,100,125,15601,15700,15626,15750,0.7500,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,15701,15800,15626,15750,0.5000,stable,stable,dominant_stable,dominant_stable,0.0200,-0.0200,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,15801,15900,15751,15875,0.7500,stable,stable,dominant_stable,dominant_stable,-0.0040,0.0040,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,15901,16000,15876,16000,1.0000,stable,stable,dominant_stable,dominant_stable,-0.0040,0.0160,-0.0120,persisted
rr_interval_4002_first_50000_001,100,125,16001,16100,16001,16125,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,16101,16200,16126,16250,0.7500,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,16201,16300,16126,16250,0.5000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,16301,16400,16251,16375,0.7500,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,16401,16500,16376,16500,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,16501,16600,16501,16625,1.0000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,16601,16700,16626,16750,0.7500,stable,stable,dominant_stable,dominant_stable,-0.0180,0.0020,0.0160,persisted
rr_interval_4002_first_50000_001,100,125,16701,16800,16626,16750,0.5000,stable,stable,dominant_stable,dominant_stable,-0.0480,0.0320,0.0160,persisted
rr_interval_4002_first_50000_001,100,125,16801,16900,16751,16875,0.7500,stable,stable,dominant_stable,dominant_stable,-0.0060,0.0160,-0.0100,persisted
rr_interval_4002_first_50000_001,100,125,16901,17000,16876,17000,1.0000,stable,stable,dominant_stable,dominant_stable,0.0080,-0.0060,-0.0020,persisted
rr_interval_4002_first_50000_001,100,125,17001,17100,17001,17125,1.0000,stable,stable,dominant_stable,dominant_stable,0.0100,-0.0100,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,17101,17200,17126,17250,0.7500,stable,stable,dominant_stable,dominant_stable,0.0100,0.0000,-0.0100,persisted
rr_interval_4002_first_50000_001,100,125,17201,17300,17126,17250,0.5000,stable,stable,dominant_stable,dominant_stable,0.0000,0.0000,0.0000,persisted
rr_interval_4002_first_50000_001,100,125,17301,17400,17251,17375,0.7500,stable,stable,dominant_stable,dominant_stable,-0.0160,0.0160,0.0000,persisted
