"window","present","family_occurrences","exact_template_count","dominant_posture","stable_bracketed","stable_edge","middle_attached","residual_clustered","mixed"
"window_001","yes","250","57","stable_bracketed","241","9","0","0","0"
"window_002","yes","250","56","stable_bracketed","224","23","0","3","0"
"window_003","yes","250","33","stable_bracketed","232","13","3","2","0"
"window_004","yes","250","20","stable_bracketed","243","6","0","1","0"
"window_005","yes","250","20","stable_bracketed","243","6","0","1","0"
"window_006","yes","250","64","stable_bracketed","228","16","3","3","0"
"window_007","yes","250","121","stable_bracketed","142","84","14","10","0"
"window_008","yes","250","95","stable_bracketed","177","56","13","4","0"
"window_009","yes","250","131","stable_bracketed","138","81","15","16","0"
"window_010","yes","250","93","stable_bracketed","192","41","8","9","0"
"window_011","yes","250","100","stable_bracketed","190","50","10","0","0"
"window_012","yes","250","142","stable_bracketed","124","86","40","0","0"
"window_013","yes","250","61","stable_bracketed","229","18","3","0","0"
"window_014","yes","250","109","stable_bracketed","173","51","13","13","0"
"window_015","yes","250","122","stable_bracketed","198","38","12","2","0"
"window_016","yes","250","106","stable_bracketed","188","40","22","0","0"
"window_017","yes","250","155","stable_bracketed","178","63","9","0","0"
"window_018","yes","250","127","stable_bracketed","152","68","30","0","0"
"window_019","yes","250","71","stable_bracketed","204","32","14","0","0"
"window_020","yes","250","67","stable_bracketed","228","16","6","0","0"
"window_021","yes","250","117","stable_bracketed","175","53","8","14","0"
"window_022","yes","250","143","stable_bracketed","167","54","14","15","0"
"window_023","yes","250","80","stable_bracketed","231","11","0","8","0"
"window_024","yes","250","113","stable_bracketed","164","57","23","6","0"
"window_025","yes","250","97","stable_bracketed","179","49","15","7","0"
"window_026","yes","250","76","stable_bracketed","190","44","14","2","0"
"window_027","yes","250","124","stable_bracketed","155","65","17","13","0"
"window_028","yes","250","136","stable_bracketed","131","77","16","26","0"
"window_029","yes","250","114","stable_bracketed","192","38","11","9","0"
"window_030","yes","250","55","stable_bracketed","250","0","0","0","0"
"window_031","yes","250","48","stable_bracketed","250","0","0","0","0"
"window_032","yes","250","62","stable_bracketed","238","8","3","1","0"
"window_033","yes","250","106","stable_bracketed","215","24","6","5","0"
"window_034","yes","250","137","stable_bracketed","179","59","8","4","0"
"window_035","yes","250","105","stable_bracketed","181","48","17","4","0"
"window_036","yes","250","106","stable_bracketed","163","59","21","7","0"
"window_037","yes","250","116","stable_bracketed","171","54","18","7","0"
"window_038","yes","250","111","stable_bracketed","144","74","21","11","0"
"window_039","yes","250","122","stable_bracketed","143","68","30","9","0"
"window_040","yes","250","110","stable_bracketed","153","62","33","2","0"
"window_041","yes","250","128","stable_bracketed","171","55","18","6","0"
"window_042","yes","250","95","stable_bracketed","193","40","10","7","0"
"window_043","yes","250","133","stable_bracketed","163","58","20","9","0"
"window_044","yes","250","130","stable_bracketed","153","63","26","8","0"
"window_045","yes","250","115","stable_bracketed","180","48","16","6","0"
"window_046","yes","250","55","stable_bracketed","236","10","2","2","0"
"window_047","yes","250","52","stable_bracketed","246","4","0","0","0"
"window_048","yes","250","47","stable_bracketed","244","4","0","2","0"
"window_049","yes","250","46","stable_bracketed","240","8","0","2","0"
"window_050","yes","250","68","stable_bracketed","221","20","6","3","0"
"window_051","yes","250","66","stable_bracketed","223","18","7","2","0"
"window_052","yes","250","99","stable_bracketed","198","38","7","7","0"
"window_053","yes","250","55","stable_bracketed","239","8","1","2","0"
"window_054","yes","250","52","stable_bracketed","247","2","0","1","0"
"window_055","yes","250","95","stable_bracketed","225","18","6","1","0"
"window_056","yes","250","71","stable_bracketed","172","52","22","4","0"
"window_057","yes","250","85","stable_bracketed","163","58","21","8","0"
"window_058","yes","250","117","stable_bracketed","138","78","14","20","0"
"window_059","yes","250","94","stable_bracketed","173","55","5","17","0"
"window_060","yes","250","79","stable_bracketed","203","31","7","9","0"
"window_061","yes","250","74","stable_bracketed","205","32","7","6","0"
"window_062","yes","250","75","stable_bracketed","209","28","8","5","0"
"window_063","yes","250","42","stable_bracketed","250","0","0","0","0"
"window_064","yes","250","40","stable_bracketed","250","0","0","0","0"
"window_065","yes","250","40","stable_bracketed","250","0","0","0","0"
"window_066","yes","250","41","stable_bracketed","250","0","0","0","0"
"window_067","yes","250","87","stable_bracketed","165","57","23","5","0"
"window_068","yes","250","91","stable_bracketed","176","49","18","7","0"
"window_069","yes","250","92","stable_bracketed","167","56","20","7","0"
"window_070","yes","250","86","stable_bracketed","158","62","30","0","0"
"window_071","yes","250","87","stable_bracketed","146","70","31","3","0"
"window_072","yes","250","80","stable_bracketed","207","29","10","4","0"
"window_073","yes","250","71","stable_bracketed","224","19","3","4","0"
"window_074","yes","250","110","stable_bracketed","194","38","3","15","0"
"window_075","yes","250","115","stable_bracketed","142","74","15","19","0"
"window_076","yes","250","113","stable_bracketed","163","58","12","17","0"
"window_077","yes","250","62","stable_bracketed","238","12","0","0","0"
"window_078","yes","250","43","stable_bracketed","246","4","0","0","0"
"window_079","yes","250","69","stable_bracketed","246","4","0","0","0"
